month,county,pid
2018-12-01,Navarro,5.0
2018-12-01,Newton,0.0
2018-12-01,Nolan,1.0
2018-12-01,Nueces,9.0
2018-12-01,Ochiltree,1.0
2018-12-01,Oldham,0.0
2018-12-01,Orange,2.0
2018-12-01,Palo Pinto,3.0
2018-12-01,Panola,2.0
2018-12-01,Parker,7.0
2018-12-01,Parmer,1.0
2018-12-01,Pecos,1.0
2018-12-01,Polk,3.0
2018-12-01,Potter,7.0
2018-12-01,Presidio,0.0
2018-12-01,Rains,0.0
2018-12-01,Randall,3.0
2018-12-01,Reagan,0.0
2018-12-01,Real,0.0
2018-12-01,Red River,2.0
2018-12-01,Reeves,0.0
2018-12-01,Refugio,1.0
2018-12-01,Roberts,0.0
2018-12-01,Robertson,2.0
2018-12-01,Rockwall,5.0
2018-12-01,Runnels,0.0
2018-12-01,Rusk,2.0
2018-12-01,Sabine,1.0
2018-12-01,San Augustine,3.0
2018-12-01,San Jacinto,1.0
2018-12-01,San Patricio,2.0
2018-12-01,San Saba,0.0
2018-12-01,Schleicher,0.0
2018-12-01,Scurry,1.0
2018-12-01,Shackelford,0.0
2018-12-01,Shelby,3.0
2018-12-01,Sherman,0.0
2018-12-01,Smith,13.0
2018-12-01,Somervell,2.0
2018-12-01,Starr,2.0
2018-12-01,Stephens,0.0
2018-12-01,Sterling,0.0
2018-12-01,Stonewall,0.0
2018-12-01,Sutton,0.0
2018-12-01,Swisher,0.0
2018-12-01,Tarrant,57.0
2018-12-01,Taylor,7.0
2018-12-01,Terrell,0.0
2018-12-01,Terry,0.0
2018-12-01,Throckmorton,0.0
2018-12-01,Titus,2.0
2018-12-01,Tom Green,5.0
2018-12-01,Travis,25.0
2018-12-01,Trinity,3.0
2018-12-01,Tyler,1.0
2018-12-01,Upshur,2.0
2018-12-01,Upton,0.0
2018-12-01,Uvalde,3.0
2018-12-01,Val Verde,3.0
2018-12-01,Van Zandt,4.0
2018-12-01,Victoria,3.0
2018-12-01,Walker,3.0
2018-12-01,Waller,0.0
2018-12-01,Ward,1.0
2018-12-01,Washington,3.0
2018-12-01,Webb,4.0
2018-12-01,Wharton,2.0
2018-12-01,Wheeler,0.0
2018-12-01,Wichita,8.0
2018-12-01,Wilbarger,1.0
2018-12-01,Willacy,1.0
2018-12-01,Williamson,14.0
2018-12-01,Wilson,3.0
2018-12-01,Winkler,1.0
2018-12-01,Wise,3.0
2018-12-01,Wood,2.0
2018-12-01,Yoakum,0.0
2018-12-01,Young,2.0
2018-12-01,Zapata,0.0
2018-12-01,Zavala,0.0
2019-01-01,Anderson,5.0
2019-01-01,Andrews,0.0
2019-01-01,Angelina,7.0
2019-01-01,Aransas,2.0
2019-01-01,Archer,0.0
2019-01-01,Armstrong,0.0
2019-01-01,Atascosa,5.0
2019-01-01,Austin,2.0
2019-01-01,Bailey,1.0
2019-01-01,Bandera,1.0
2019-01-01,Bastrop,4.0
2019-01-01,Baylor,1.0
2019-01-01,Bee,1.0
2019-01-01,Bell,14.0
2019-01-01,Bexar,51.0
2019-01-01,Blanco,0.0
2019-01-01,Borden,0.0
2019-01-01,Bosque,3.0
2019-01-01,Bowie,7.0
2019-01-01,Brazoria,8.0
2019-01-01,Brazos,6.0
2019-01-01,Brewster,1.0
2019-01-01,Briscoe,0.0
2019-01-01,Brooks,1.0
2019-01-01,Brown,4.0
2019-01-01,Burleson,3.0
2019-01-01,Burnet,2.0
2019-01-01,Caldwell,4.0
2019-01-01,Calhoun,1.0
2019-01-01,Callahan,1.0
2019-01-01,Cameron,12.0
2019-01-01,Camp,2.0
2019-01-01,Carson,0.0
2019-01-01,Cass,4.0
2019-01-01,Castro,1.0
2019-01-01,Chambers,1.0
2019-01-01,Cherokee,6.0
2019-01-01,Childress,0.0
2019-01-01,Clay,0.0
2019-01-01,Cochran,0.0
2019-01-01,Coke,2.0
2019-01-01,Coleman,1.0
2019-01-01,Collin,25.0
2019-01-01,Collingsworth,0.0
2019-01-01,Colorado,3.0
2019-01-01,Comal,6.0
2019-01-01,Comanche,2.0
2019-01-01,Concho,0.0
2019-01-01,Cooke,4.0
2019-01-01,Coryell,3.0
2019-01-01,Cottle,0.0
2019-01-01,Crane,0.0
2019-01-01,Crockett,0.0
2019-01-01,Crosby,0.0
2019-01-01,Culberson,0.0
2019-01-01,Dallam,0.0
2019-01-01,Dallas,67.0
2019-01-01,Dawson,1.0
2019-01-01,Deaf Smith,0.0
2019-01-01,Delta,0.0
2019-01-01,Denton,16.0
2019-01-01,DeWitt,3.0
2019-01-01,Dickens,0.0
2019-01-01,Dimmit,2.0
2019-01-01,Donley,0.0
2019-01-01,Duval,1.0
2019-01-01,Eastland,4.0
2019-01-01,Ector,3.0
2019-01-01,Edwards,0.0
2019-01-01,Ellis,9.0
2019-01-01,El Paso,19.0
2019-01-01,Erath,2.0
2019-01-01,Falls,1.0
2019-01-01,Fannin,4.0
2019-01-01,Fayette,3.0
2019-01-01,Fisher,0.0
2019-01-01,Floyd,1.0
2019-01-01,Foard,0.0
2019-01-01,Fort Bend,18.0
2019-01-01,Franklin,0.0
2019-01-01,Freestone,2.0
2019-01-01,Frio,1.0
2019-01-01,Gaines,1.0
2019-01-01,Galveston,13.0
